Player,Team,Match Up,Game Date,win_loss,MIN,OffRtg,DefRtg,NetRtg,AST%,AST_TOV,AST_Ratio,OREB%,DREB%,REB%,TOV_Ratio,eFG%,TS%,USG%,PACE,PACE_40,PIE,season_type
Chelsea Gray,LVA,LVA vs. GSV,7/12/2025,W,34,130.8,133.3,-2.6,0.231,2,0.375,0.000,0.103,0.055,0.188,0.357,0.403,0.135,94.0,78.3,5.4,2
Chelsea Gray,LVA,LVA @ WAS,7/10/2025,L,30,89.8,100,-10.2,0.188,1,0.188,0.029,0.231,0.117,0.188,0.650,0.650,0.194,96.9,80.7,17.8,2
Chelsea Gray,LVA,LVA @ NYL,7/8/2025,L,34,107.6,105.8,1.8,0.167,0.6,0.176,0.033,0.167,0.106,0.294,0.556,0.583,0.189,96.3,80.3,8.1,2
Chelsea Gray,LVA,LVA @ CON,7/6/2025,W,20,130,84.6,45.4,0.421,4,0.533,0.071,0.050,0.059,0.133,0.600,0.600,0.159,93.6,78.0,12.1,2
Chelsea Gray,LVA,LVA @ IND,7/3/2025,L,23,75.6,116.3,-40.7,0.222,0.4,0.200,0.000,0.158,0.067,0.500,0.333,0.333,0.151,92.4,77.0,-4,2
Chelsea Gray,LVA,LVA @ PHX,6/29/2025,W,35,110.3,97.1,13.2,0.227,5,0.278,0.000,0.119,0.068,0.056,0.250,0.383,0.169,93.4,77.9,7.8,2
Chelsea Gray,LVA,LVA vs. WAS,6/26/2025,L,31,98.3,115.3,-16.9,0.444,2.67,0.421,0.000,0.121,0.070,0.158,0.813,0.813,0.177,92.6,77.2,16.2,2
Chelsea Gray,LVA,LVA vs. CON,6/25/2025,W,29,119.3,70.7,48.6,0.300,1.2,0.261,0.037,0.167,0.111,0.217,0.550,0.615,0.254,95.9,79.9,16.9,2
Chelsea Gray,LVA,LVA vs. IND,6/22/2025,W,35,105.6,102.7,2.8,0.143,0.75,0.158,0.027,0.069,0.045,0.211,0.750,0.750,0.190,100.8,84.0,12.8,2
Chelsea Gray,LVA,LVA vs. SEA,6/20/2025,L,31,109.5,117.5,-7.9,0.333,3.5,0.412,0.000,0.121,0.068,0.118,0.357,0.444,0.149,97.5,81.3,8.6,2
Chelsea Gray,LVA,LVA @ MIN,6/17/2025,L,33,82.8,98.5,-15.6,0.353,2,0.286,0.026,0.024,0.025,0.143,0.222,0.373,0.197,93.2,77.7,5.1,2
Chelsea Gray,LVA,LVA vs. PHX,6/15/2025,L,38,94.4,100,-5.6,0.267,0.8,0.148,0.027,0.209,0.125,0.185,0.500,0.546,0.264,92.0,76.7,17.8,2
Chelsea Gray,LVA,LVA vs. DAL,6/13/2025,W,28,101.7,105.2,-3.5,0.357,1.67,0.263,0.080,0.091,0.085,0.158,0.375,0.587,0.209,98.8,82.4,13.6,2
Chelsea Gray,LVA,LVA vs. LAS,6/11/2025,L,36,113.3,116.9,-3.5,0.053,0.2,0.045,0.000,0.038,0.015,0.227,0.769,0.825,0.247,101.1,84.3,11.9,2
Chelsea Gray,LVA,LVA @ GSV,6/7/2025,L,27,87.7,124.1,-36.4,0.111,0.33,0.067,0.037,0.083,0.059,0.200,0.727,0.727,0.219,98.6,82.2,13.2,2
Chelsea Gray,LVA,LVA @ SEA,6/1/2025,W,34,88.7,87.1,1.6,0.300,1,0.316,0.000,0.111,0.060,0.316,0.667,0.727,0.169,99.0,82.5,9.9,2
Chelsea Gray,LVA,LVA vs. LAS,5/30/2025,W,32,120.9,88.2,32.7,0.182,1.33,0.222,0.031,0.103,0.066,0.167,0.545,0.609,0.187,101.6,84.6,12.3,2
Chelsea Gray,LVA,LVA @ SEA,5/25/2025,L,25,96.1,123.5,-27.5,0.188,1.5,0.214,0.042,0.067,0.051,0.143,0.357,0.457,0.200,99.2,82.7,3.8,2
Chelsea Gray,LVA,LVA vs. WAS,5/23/2025,W,34,100,95.5,4.5,0.143,0.67,0.091,0.000,0.129,0.059,0.136,0.471,0.487,0.267,94.7,78.9,9.1,2
Chelsea Gray,LVA,LVA @ CON,5/20/2025,W,21,134.9,72.7,62.2,0.250,1.33,0.235,0.136,0.136,0.136,0.176,0.429,0.595,0.245,97.9,81.6,18,2
Chelsea Gray,LVA,LVA @ NYL,5/17/2025,L,35,105.7,117.1,-11.4,0.174,2,0.211,0.000,0.088,0.038,0.105,0.423,0.446,0.181,95.9,79.9,3.5,2
Cheyenne Parker-Tyus,LVA,LVA @ LAS,9/11/2025,W,6,93.3,135.7,-42.4,0.000,0,0.000,0.000,0.400,0.222,0.000,0.833,0.840,0.313,115.4,96.1,20.3,2
Cheyenne Parker-Tyus,LVA,LVA vs. CHI,9/9/2025,W,8,131.3,93.8,37.5,0.000,0,0.000,0.000,0.000,0.000,0.143,0.600,0.680,0.389,97.2,81.0,11.9,2
Crystal Bradford,LVA,LVA @ GSV,6/7/2025,L,5,110,144.4,-34.4,0.250,0,0.333,0.200,0.400,0.300,0.000,0.000,0.000,0.182,86.9,72.4,6.7,2
Crystal Bradford,LVA,LVA @ SEA,5/25/2025,L,5,90,210,-120,0.000,0,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.091,97.0,80.8,-8.7,2
Crystal Bradford,LVA,LVA vs. WAS,5/23/2025,W,6,83.3,66.7,16.7,0.000,0,0.000,0.000,0.000,0.000,0.000,0.500,0.500,0.125,103.5,86.2,9.5,2
Crystal Bradford,LVA,LVA @ CON,5/20/2025,W,8,106.7,118.8,-12.1,0.000,0,0.000,0.125,0.125,0.125,0.000,0.500,0.500,0.100,88.8,74.0,14,2
Dana Evans,LVA,LVA @ LAS,9/11/2025,W,17,100,111.8,-11.8,0.455,1,0.357,0.111,0.071,0.094,0.357,0.000,0.000,0.231,94.5,78.7,-5.6,2
Dana Evans,LVA,LVA vs. CHI,9/9/2025,W,22,129.3,80.5,48.8,0.400,0,0.462,0.000,0.056,0.031,0.000,0.929,0.929,0.156,91.5,76.2,21.6,2
Dana Evans,LVA,LVA vs. CHI,9/7/2025,W,23,75,100,-25,0.300,0,0.300,0.000,0.050,0.022,0.000,0.286,0.286,0.156,85.1,70.9,2.9,2
Dana Evans,LVA,LVA vs. MIN,9/4/2025,W,19,97.4,97.4,0.1,0.250,3,0.273,0.000,0.125,0.061,0.091,0.333,0.436,0.182,99.2,82.7,9.8,2
