player_name,position,position_group,archetype,mpg,elite_count,improvement_count,elite_skills,improvement_areas,metric,percentile,metric_display,metric_category,percentile_tier,metric_order,player_order
Dana Evans,G,G,Role Player,18.23,0,4,None,"ts_pct, TREB%, STL%, FT%",TREB_pct_pctile_pos,4,TREB%,Rebounding,Weakness (<25),6,6
Dana Evans,G,G,Role Player,18.23,0,4,None,"ts_pct, TREB%, STL%, FT%",STL_pct_pctile_pos,11,STL%,Defense,Weakness (<25),7,6
Dana Evans,G,G,Role Player,18.23,0,4,None,"ts_pct, TREB%, STL%, FT%",BLK_pct_pctile_pos,15,BLK%,Defense,Weakness (<25),8,6
Dana Evans,G,G,Role Player,18.23,0,4,None,"ts_pct, TREB%, STL%, FT%",player_def_rtg_pctile_pos,30,Def Rating,Defense,Below Avg (25-49),9,6
Dana Evans,G,G,Role Player,18.23,0,4,None,"ts_pct, TREB%, STL%, FT%",three_pt_rate_pctile_pos,55,3PT Rate,Shooting,Average (50-74),10,6
Dana Evans,G,G,Role Player,18.23,0,4,None,"ts_pct, TREB%, STL%, FT%",FT_pct_pctile_pos,23,FT%,Shooting,Weakness (<25),11,6
Kierstan Bell,G-F,F,Stretch Forward,11.79,2,6,"TOV%, 3p_rate","PER, ts_pct, AST%, TREB%, player_def_rtg, win_shares",PER_pctile_pos,14,PER,Overall,Weakness (<25),1,7
Kierstan Bell,G-F,F,Stretch Forward,11.79,2,6,"TOV%, 3p_rate","PER, ts_pct, AST%, TREB%, player_def_rtg, win_shares",win_shares_pctile_pos,7,Win Shares,Overall,Weakness (<25),2,7
Kierstan Bell,G-F,F,Stretch Forward,11.79,2,6,"TOV%, 3p_rate","PER, ts_pct, AST%, TREB%, player_def_rtg, win_shares",ts_pct_pctile_pos,3,TS%,Efficiency,Weakness (<25),3,7
Kierstan Bell,G-F,F,Stretch Forward,11.79,2,6,"TOV%, 3p_rate","PER, ts_pct, AST%, TREB%, player_def_rtg, win_shares",AST_pct_pctile_pos,9,AST%,Playmaking,Weakness (<25),4,7
Kierstan Bell,G-F,F,Stretch Forward,11.79,2,6,"TOV%, 3p_rate","PER, ts_pct, AST%, TREB%, player_def_rtg, win_shares",TOV_pct_pctile_pos,91,TOV%,Playmaking,Elite (90+),5,7
Kierstan Bell,G-F,F,Stretch Forward,11.79,2,6,"TOV%, 3p_rate","PER, ts_pct, AST%, TREB%, player_def_rtg, win_shares",TREB_pct_pctile_pos,16,TREB%,Rebounding,Weakness (<25),6,7
Kierstan Bell,G-F,F,Stretch Forward,11.79,2,6,"TOV%, 3p_rate","PER, ts_pct, AST%, TREB%, player_def_rtg, win_shares",STL_pct_pctile_pos,35,STL%,Defense,Below Avg (25-49),7,7
Kierstan Bell,G-F,F,Stretch Forward,11.79,2,6,"TOV%, 3p_rate","PER, ts_pct, AST%, TREB%, player_def_rtg, win_shares",BLK_pct_pctile_pos,40,BLK%,Defense,Below Avg (25-49),8,7
Kierstan Bell,G-F,F,Stretch Forward,11.79,2,6,"TOV%, 3p_rate","PER, ts_pct, AST%, TREB%, player_def_rtg, win_shares",player_def_rtg_pctile_pos,21,Def Rating,Defense,Weakness (<25),9,7
Kierstan Bell,G-F,F,Stretch Forward,11.79,2,6,"TOV%, 3p_rate","PER, ts_pct, AST%, TREB%, player_def_rtg, win_shares",three_pt_rate_pctile_pos,93,3PT Rate,Shooting,Elite (90+),10,7
Kierstan Bell,G-F,F,Stretch Forward,11.79,2,6,"TOV%, 3p_rate","PER, ts_pct, AST%, TREB%, player_def_rtg, win_shares",FT_pct_pctile_pos,45,FT%,Shooting,Below Avg (25-49),11,7
Aaliyah Nye,G-F,G,3PT Specialist,13.78,1,5,3p_rate,"PER, ts_pct, AST%, STL%, win_shares",PER_pctile_pos,5,PER,Overall,Weakness (<25),1,8
Aaliyah Nye,G-F,G,3PT Specialist,13.78,1,5,3p_rate,"PER, ts_pct, AST%, STL%, win_shares",win_shares_pctile_pos,13,Win Shares,Overall,Weakness (<25),2,8
Aaliyah Nye,G-F,G,3PT Specialist,13.78,1,5,3p_rate,"PER, ts_pct, AST%, STL%, win_shares",ts_pct_pctile_pos,10,TS%,Efficiency,Weakness (<25),3,8
Aaliyah Nye,G-F,G,3PT Specialist,13.78,1,5,3p_rate,"PER, ts_pct, AST%, STL%, win_shares",AST_pct_pctile_pos,7,AST%,Playmaking,Weakness (<25),4,8
Aaliyah Nye,G-F,G,3PT Specialist,13.78,1,5,3p_rate,"PER, ts_pct, AST%, STL%, win_shares",TOV_pct_pctile_pos,55,TOV%,Playmaking,Average (50-74),5,8
Aaliyah Nye,G-F,G,3PT Specialist,13.78,1,5,3p_rate,"PER, ts_pct, AST%, STL%, win_shares",TREB_pct_pctile_pos,18,TREB%,Rebounding,Weakness (<25),6,8
Aaliyah Nye,G-F,G,3PT Specialist,13.78,1,5,3p_rate,"PER, ts_pct, AST%, STL%, win_shares",STL_pct_pctile_pos,8,STL%,Defense,Weakness (<25),7,8
Aaliyah Nye,G-F,G,3PT Specialist,13.78,1,5,3p_rate,"PER, ts_pct, AST%, STL%, win_shares",BLK_pct_pctile_pos,20,BLK%,Defense,Weakness (<25),8,8
Aaliyah Nye,G-F,G,3PT Specialist,13.78,1,5,3p_rate,"PER, ts_pct, AST%, STL%, win_shares",player_def_rtg_pctile_pos,25,Def Rating,Defense,Below Avg (25-49),9,8
Aaliyah Nye,G-F,G,3PT Specialist,13.78,1,5,3p_rate,"PER, ts_pct, AST%, STL%, win_shares",three_pt_rate_pctile_pos,98,3PT Rate,Shooting,Elite (90+),10,8
Aaliyah Nye,G-F,G,3PT Specialist,13.78,1,5,3p_rate,"PER, ts_pct, AST%, STL%, win_shares",FT_pct_pctile_pos,81,FT%,Shooting,Above Avg (75-89),11,8
